file,success,time_to_goal,collision,min_rho,path_length,avg_rho
run_log_robot1_01.csv,1,1.2,0,0.8452744417941152,0.6325896860036497,1.4810118244240036
run_log_robot1_02.csv,1,2.8,0,0.6224097513020259,2.010160300125755,1.4157127929371796
run_log_robot1_03.csv,1,1.3,0,0.9173686647633561,0.6361396607365628,1.5441906888486878
run_log_robot1_04.csv,1,2.2,0,0.7227490668730929,1.5093255756793522,1.474605622729824
run_log_robot1_05.csv,1,3.15,0,0.46929378755346784,2.2726216699173887,1.3820373964870345
run_log_robot1_06.csv,1,3.65,0,0.6684991050428418,2.531872178689646,1.3803771763454165
run_log_robot1_07.csv,1,1.65,0,0.917055306047692,1.043347461725028,1.5955436918979153
run_log_robot1_08.csv,1,2.2,0,0.9158615124986709,1.3229139548122737,1.5890943106645763
run_log_robot1_09.csv,1,2.55,0,0.9122445650322499,1.7725709814005282,1.49248413361136
run_log_robot1_10.csv,1,2.55,0,0.9075101723986635,1.6013221614908613,1.5715113730859434
